Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Not Graduate,No,6216.0,0.0,133.0,360.0,1.0,Rural,N
Female,No,0,Graduate,No,3813.0,0.0,116.0,180.0,1.0,Urban,Y
Male,Yes,3+,Not Graduate,Yes,7100.0,0.0,125.0,60.0,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,5746.0,0.0,144.0,84.0,1.0,Rural,Y
Male,Yes,2,Graduate,No,2947.0,1603.0,127.0,360.0,1.0,Urban,N
Male,Yes,3+,Graduate,Yes,10139.0,0.0,260.0,360.0,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,4583.0,0.0,112.0,360.0,1.0,Rural,N
Male,Yes,2,Graduate,No,6250.0,1695.0,210.0,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,Yes,1000.0,3022.0,110.0,360.0,1.0,Urban,N
Male,Yes,2,Graduate,Yes,1600.0,20000.0,239.0,360.0,1.0,Urban,N
Male,No,0,Graduate,No,3750.0,4750.0,176.0,360.0,1.0,Urban,N
Male,Yes,0,Not Graduate,No,4887.0,0.0,133.0,360.0,1.0,Rural,N
Female,No,0,Graduate,No,4230.0,0.0,112.0,360.0,1.0,Semiurban,N
Female,No,0,Not Graduate,No,1963.0,0.0,53.0,360.0,1.0,Semiurban,Y
Female,No,1,Not Graduate,Yes,3867.0,0.0,62.0,360.0,1.0,Semiurban,N
Male,No,0,Graduate,No,20233.0,0.0,480.0,360.0,1.0,Rural,N
Female,No,0,Graduate,Yes,7441.0,0.0,194.0,360.0,1.0,Rural,N
Male,Yes,3+,Graduate,No,4000.0,7750.0,290.0,360.0,1.0,Semiurban,N
Male,Yes,0,Graduate,No,4817.0,923.0,120.0,180.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,2500.0,1840.0,109.0,360.0,1.0,Urban,Y
Female,No,0,Graduate,Yes,15759.0,0.0,55.0,360.0,1.0,Semiurban,Y
Male,Yes,1,Not Graduate,No,1958.0,2436.0,131.0,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,6400.0,7250.0,180.0,360.0,0.0,Urban,N
Male,Yes,0,Graduate,No,1025.0,2773.0,112.0,360.0,1.0,Rural,Y
Female,No,2,Graduate,No,3750.0,2083.0,120.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,3333.0,0.0,70.0,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,645.0,3683.0,113.0,480.0,1.0,Rural,Y
Male,Yes,2,Not Graduate,No,2309.0,1255.0,125.0,360.0,0.0,Rural,N
Male,No,0,Graduate,No,3858.0,0.0,76.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2920.0,16.12000084,87.0,360.0,1.0,Rural,Y
Male,No,0,Not Graduate,No,2699.0,2785.0,96.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,4000.0,2500.0,140.0,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,No,6700.0,1750.0,230.0,300.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,16666.0,0.0,275.0,360.0,1.0,Urban,Y
Male,No,0,Not Graduate,No,3748.0,1668.0,110.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3900.0,0.0,90.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,2479.0,3013.0,188.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,2237.0,0.0,63.0,480.0,0.0,Semiurban,N
Male,Yes,3+,Graduate,Yes,5677.0,1424.0,100.0,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,3333.0,3250.0,158.0,360.0,1.0,Urban,Y
Female,Yes,0,Graduate,No,2484.0,2302.0,137.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,4166.0,0.0,98.0,360.0,0.0,Semiurban,N
Male,Yes,2,Not Graduate,No,2192.0,1742.0,45.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1759.0,3541.0,131.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3283.0,2035.0,148.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,3583.0,0.0,96.0,360.0,1.0,Urban,N
Male,No,0,Graduate,No,5849.0,0.0,127.0,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,2787.0,1917.0,146.0,360.0,0.0,Rural,N
Male,Yes,0,Graduate,Yes,16120.0,0.0,260.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,4310.0,0.0,130.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,2083.0,4083.0,160.0,360.0,1.0,Semiurban,Y
Male,No,0,Not Graduate,Yes,5800.0,0.0,132.0,360.0,1.0,Semiurban,Y
